step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
50,50.0,1775282952000.0,0.0578622706234455,1775282952000.0,2.422417694702972e-05,1775282952000.0,-2.2145717418098343e-05,1775282952000.0,-4.600424290401861e-07,1775282952000.0,519.3828125,1775282952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51.0,1775283083000.0,0.0573363974690437,1775283083000.0,2.554663197074092e-05,1775283083000.0,1.5824309259723085e-05,1775283083000.0,1.111984602175653e-07,1775283083000.0,522.08203125,1775283083000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52.0,1775283210000.0,0.0596600361168384,1775283210000.0,2.381892533165341e-05,1775283210000.0,4.927244245500617e-06,1775283210000.0,4.281958354113158e-06,1775283210000.0,522.05859375,1775283210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53.0,1775283335000.0,0.0569047853350639,1775283335000.0,2.539262872147674e-05,1775283335000.0,-2.888303695414152e-05,1775283335000.0,-1.5907953638816252e-06,1775283335000.0,521.494140625,1775283335000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54.0,1775283733000.0,0.0602422170341014,1775283733000.0,2.5302596455389903e-05,1775283733000.0,-3.516421172022888e-06,1775283733000.0,1.2439531928976066e-05,1775283733000.0,522.828125,1775283733000.0,0.6915,1775283733000.0,0.6915,1775283733000.0,0.862,1775283733000.0,0.836866,1775283733000.0,473.40625,1775283733000.0,0.1825378335374473,1775283733000.0,0.0244240543930292,1775283733000.0,473.40625,1775283733000.0,0.9581842444518884,1775283733000.0,0.0021469708133966,1775283733000.0,0.9898669130613768,1775283733000.0,64.0,1775283733000.0,0.016,1775283733000.0
55,55.0,1775283860000.0,0.0578717850148677,1775283860000.0,2.5631664438918733e-05,1775283860000.0,-1.7910373682816783e-05,1775283860000.0,2.2506392269860957e-06,1775283860000.0,521.283203125,1775283860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56.0,1775283987000.0,0.0618095360696315,1775283987000.0,2.4646470734523973e-05,1775283987000.0,-7.324795616270308e-06,1775283987000.0,8.410193004237954e-06,1775283987000.0,521.09765625,1775283987000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57.0,1775284112000.0,0.06022909283638,1775284112000.0,2.459835264545518e-05,1775284112000.0,-1.001940602296525e-05,1775284112000.0,7.930792889965232e-06,1775284112000.0,520.3125,1775284112000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58.0,1775284237000.0,0.0579308271408081,1775284237000.0,2.5384598895783483e-05,1775284237000.0,1.2287181154757576e-05,1775284237000.0,0.0,1775284237000.0,517.634765625,1775284237000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59.0,1775284372000.0,0.0577430576086044,1775284372000.0,2.3842683132713205e-05,1775284372000.0,-1.5016283823943157e-05,1775284372000.0,2.6091716790688224e-05,1775284372000.0,521.62890625,1775284372000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
