formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,103,103.0,0.1200347617268562,0.003257569274865,9.13310370833642e-05,-244.4806523323059,522.125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,104,104.0,0.1255562305450439,0.0030737942433916,-0.0001852258242251,-234.43660354614252,528.34375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,105,105.0,0.139429971575737,0.0030507150513585,2.0747150188071828e-05,-215.16133069992063,581.78125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,106,106.0,0.1442666053771973,0.0028895007999381,7.509067847877304e-05,-235.8918943405151,563.59375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,107,107.0,0.1178771555423736,0.0034686207072809,-0.000288832346996,-249.1902666091919,491.15625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,108,108.0,0.1368800103664398,0.0031331045975093,-2.620223949634237e-05,-230.30127811431885,587.640625,0.544,0.544,715.296875,0.2093826864662488,0.0394504030232202,715.296875,0.9267188667399524,0.0012903101668155,0.9935804997154192,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,109,109.0,0.1146159023046493,0.0030941429286031,-0.0001609216069482,-256.0615634918213,512.578125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,110,110.0,0.1171426996588707,0.0030269225972006,-0.0001068195333573,-236.7492637634277,525.734375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,111,111.0,0.1419321000576019,0.0033410685937269,-1.1570484730327737e-06,-231.42990016937256,548.015625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,112,112.0,0.1287386864423751,0.0033502768565085,7.243511026899796e-05,-247.46416664123532,550.390625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,113,113.0,0.1258628666400909,0.0033224174112547,-1.939674461937102e-05,-243.1060667037964,522.5,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,114,114.0,0.1325128674507141,0.0038770698592998,2.64099764990533e-06,-247.9215931892395,556.203125,0.558,0.558,574.234375,0.2108922346326394,0.0391009768441675,574.234375,0.92581302499269,0.0017086016226254,0.9945598173711072,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,115,115.0,0.1378881931304931,0.0036950563007849,7.502515654778108e-05,-243.45516109466556,549.1875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,116,116.0,0.117170825600624,0.003597697650548,-7.599368399269224e-05,-243.1174845695496,545.140625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,117,117.0,0.1245554387569427,0.0038244769675657,-0.0001620079220856,-243.8514790534973,531.046875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,118,118.0,0.1132441982626915,0.0036840328684775,0.0002206799942996,-247.2952175140381,499.984375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,119,119.0,0.129636213183403,0.0037607275007758,0.0002386615319096,-226.726722240448,527.484375,,,,,,,,,,,
