formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,84,84.0,0.1123344376683235,1.1720582717700267e-06,0.0001426963362973,598.595703125,0.562,0.562,0.83,0.7890260000000001,602.28125,0.1757111333881584,0.0317802106573963,602.28125,0.9383245458342132,0.0015853559491699,0.995269107971999,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,85,85.0,0.1104659363627433,-2.63309522310351e-05,0.0001250417017217,581.58203125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,86,86.0,0.109015591442585,1.2821582192401593e-05,0.0001459688955947,593.798828125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,87,87.0,0.1145917251706123,-2.100403724458744e-05,0.0001465888863094,592.69921875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,88,88.0,0.1122639700770378,-2.5068473352263258e-05,0.000164104050782,586.24609375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,89,89.0,0.1103909164667129,3.89816063921522e-05,0.0001541528499728,587.32421875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,90,90.0,0.1136214360594749,8.754991649262411e-06,0.000167380521816,597.26171875,0.557,0.557,0.796,0.7661939999999999,599.828125,0.1841971220944442,0.0346453411133397,599.828125,0.9361649606925264,0.0015837810072536,0.9948593036701594,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,91,91.0,0.1107103675603866,3.556331601473062e-05,0.0001736860940582,589.890625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,92,92.0,0.1087188944220542,2.1388854417825343e-05,0.0001811786241887,593.11328125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,93,93.0,0.1119202226400375,6.179577551820858e-05,0.0001149229983639,583.845703125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,94,94.0,0.1098785698413848,-6.338120415616544e-06,8.219248957175296e-05,584.86328125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,95,95.0,0.107337549328804,5.297849405350164e-05,0.0001148648789239,584.24609375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,96,96.0,0.1085785254836082,8.431117317631021e-07,0.0001748963368299,594.001953125,0.55775,0.55775,0.82,0.781672,766.9375,0.2511786180393162,0.0450452285877271,766.9375,0.9264459368283198,0.0012544514327309,0.9887312720529357,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,97,97.0,0.1093707457184791,-4.692454211530084e-06,0.0001982226895052,590.021484375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,98,98.0,0.109768345952034,-6.203277726157808e-06,7.822518455213867e-05,577.892578125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,99,99.0,0.1122512072324752,-6.457293877737413e-05,0.0001177422445834,585.267578125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,100,100.0,0.1097558960318565,-1.5032166666928417e-05,0.0001433849847671,587.62890625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,101,101.0,0.108680747449398,2.3628545136489265e-05,0.0001353164598185,585.82421875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,102,102.0,0.1093989983201026,1.37379481972566e-05,9.461111767450348e-05,581.15234375,0.57475,0.57475,0.808,0.777664,623.0625,0.1716451353122291,0.0315728759153375,623.0625,0.939933869840867,0.0014960608363046,0.9956450418814192,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,103,103.0,0.1044280007481575,-2.0050364972656887e-05,9.451881214772584e-05,575.640625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,104,104.0,0.1148879155516624,1.1332179588041669e-05,0.0002260136707263,597.435546875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,105,105.0,0.1069637313485145,2.1986520767125484e-05,0.00013239197051,578.939453125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,106,106.0,0.105677843093872,1.9240830344102733e-05,9.156726900982905e-05,583.419921875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,107,107.0,0.1072694733738899,9.328477013514911e-06,8.922743018047186e-05,582.744140625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,108,108.0,0.1060054153203964,-5.865889362821619e-05,0.0001556248298584,583.21484375,0.5695,0.5695,0.82,0.78293,604.3125,0.1917332060298353,0.0366635639673182,604.3125,0.9347436107762142,0.0016211751425031,0.993180264212474,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,109,109.0,0.1072315350174904,1.3563664452043156e-05,0.0002088284518322,597.0390625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,110,110.0,0.1037291511893272,2.8636969065631845e-05,0.000123103435726,585.48828125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,111,111.0,0.1049700379371643,1.6435780346935047e-05,7.200430991360918e-05,572.91015625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,112,112.0,0.1052219569683075,-5.599026026814613e-06,0.0001608814563951,588.458984375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,113,113.0,0.1045270413160324,-1.2840161550009556e-05,0.000195742743017,581.076171875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,114,114.0,0.1033991277217865,-3.393089512027103e-06,5.600325130217243e-05,575.48828125,0.56375,0.56375,0.814,0.775624,651.4375,0.187222003891019,0.0358342127986184,651.4375,0.9358087726967425,0.0014344009985668,0.9940751978912544,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,115,115.0,0.1044964790344238,1.993856813697903e-05,0.0001902937547129,587.59765625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,116,116.0,0.1010660007596016,-2.2278130344943747e-06,4.127157444600016e-05,574.662109375,,,,,,,,,,,,,
