step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
49,49.0,1775070157000.0,0.1318661272525787,1775070157000.0,6.072159050693471e-05,1775070157000.0,0.0002382383891017,1775070157000.0,602.802734375,1775070157000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50.0,1775070268000.0,0.1281709372997284,1775070268000.0,1.8332051929803583e-06,1775070268000.0,0.0001622388972464,1775070268000.0,595.052734375,1775070268000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51.0,1775070382000.0,0.1270177066326141,1775070382000.0,2.2663232894681865e-05,1775070382000.0,0.000264716320089,1775070382000.0,608.662109375,1775070382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52.0,1775070496000.0,0.165772795677185,1775070496000.0,-3.147293451921662e-05,1775070496000.0,0.0003123358519587,1775070496000.0,615.3359375,1775070496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53.0,1775070608000.0,0.1396794021129608,1775070608000.0,2.79302009603688e-06,1775070608000.0,0.000281696953607,1775070608000.0,607.09765625,1775070608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54.0,1775071060000.0,0.1272510886192321,1775071060000.0,-3.627253423843513e-06,1775071060000.0,0.0002375170388404,1775071060000.0,593.80859375,1775071060000.0,0.55575,1775071060000.0,0.55575,1775071060000.0,0.82,1775071060000.0,0.783312,1775071060000.0,545.546875,1775071060000.0,0.1826286546995864,1775071060000.0,0.033595875698124,1775071060000.0,545.546875,1775071060000.0,0.9358438460409992,1775071060000.0,0.0017628201506292,1775071060000.0,0.995077128753815,1775071060000.0,64.0,1775071060000.0,0.016,1775071060000.0
55,55.0,1775071174000.0,0.1235594823956489,1775071174000.0,5.931187148533468e-06,1775071174000.0,0.0002225653006462,1775071174000.0,598.310546875,1775071174000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56.0,1775071287000.0,0.1303942501544952,1775071287000.0,-2.33697203122496e-06,1775071287000.0,0.0002657338627614,1775071287000.0,600.8125,1775071287000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57.0,1775071400000.0,0.1332834959030151,1775071400000.0,-1.9304866411218317e-05,1775071400000.0,0.0002645480308274,1775071400000.0,606.021484375,1775071400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58.0,1775071511000.0,0.1231805831193924,1775071511000.0,5.3472149783573286e-05,1775071511000.0,0.0001846943705459,1775071511000.0,584.24609375,1775071511000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
